original,article,anchor,link,context
статьи 124-5,124,z124,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z124"">статьи 124-5</a>",статьи 124-5 настоящего Кодекса;
"подпунктах 2), 4) и 5) пункта 1 статьи 124-5",124-5,z1299,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z124-5_1_2"">подпунктах 2)</a>, <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z124-5_1_4"">4)</a> и <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z124-5_1_5"">5)</a> <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z1299"">пункта 1</a> <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z1299"">статьи 124-5</a>",полугодовую информацию об использовании средств по покупке и (или) передаче электрической э
статьи 131,131,z131,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z131"">статьи 131</a>","статьи 131,"
статьи 130,130,z130,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z130"">статьи 130</a>","статьи 130,"
"статей 131-1, 144-4 и 157",131-1,z2136,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z2136"">статей 131-1</a>, <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z2718"">144-4</a>-<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z157"">157</a>","8-1. Действие настоящей главы, за исключением пунктов 1, 2 и 3 статьи 131, статей 131-1, 14"
"пунктов 1, 2 и 3 статьи 131",131,z131,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z131"">пунктов 1, 2 и 3 статьи 131</a>","8-1. Действие настоящей главы, за исключением пунктов 1, 2 и 3 статьи 131, статей 131-1, 14"
статьи 130,130,z130,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z130"">статьи 130</a>","статьи 130,"
пункта 13 настоящей статьи,129_p13,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z2548"">пункта 13</a> настоящей статьи",15. При этом обязательной регистрации в уполномоченном органе в области правовой статистики
10,10,z10,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z10"">10</a>",15. При этом обязательной регистрации в уполномоченном органе в области правовой статистики
пункта 13 настоящей статьи,129_p13,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z2548"">пункта 13</a> настоящей статьи","При этом акт о назначении проверок, указанных в подпунктах 10) и 11) пункта 4, подпунктах 1"
пунктах 8 и 9 настоящей статьи,129_multi,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z3207"">пунктах 8</a> и <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z2535"">9</a> настоящей статьи","Порядок проведения государственного контроля и надзора, указанных в пунктах 8 и 9 настоящей"
пункта 16 настоящей статьи,129_p16,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z2562"">пункта 16</a> настоящей статьи","пункта 16 настоящей статьи, то в этом случае государственный контроль осуществляется в порядке, уст"
"пунктах 5, 6 и 12 настоящей статьи",129_multi,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z2528"">пунктах 5</a>, <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z2529"">6</a> и <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z2540"">12</a> настоящей статьи","18. На отношения, перечисленные в пунктах 5, 6 и 12 настоящей статьи, в части внутреннего к"
пункту 4-1 настоящей статьи,129_p4-1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z3202"">пункту 4-1</a> настоящей статьи",пункта 4 и пункту 4-1 настоящей статьи могут применяться меры оперативного реагирования в отношении
пункте 8 настоящей статьи,129_p8,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z3207"">пункте 8</a> настоящей статьи","Запрещается проводить государственный контроль и надзор в случаях, если в законах Республик"
статьи 141,141,z141,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z141"">статьи 141</a>","статьи 141,"
пунктом 5 статьи 144-4,144-4,z2718,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z2718"">пунктом 5 статьи 144-4</a>","статьи 143, пунктом 1 статьи 144-3 и пунктом 5 статьи 144-4 настоящего Кодекса."
пунктом 1 статьи 144-3,144-3,z2710,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z2710"">пунктом 1 статьи 144-3</a>","статьи 143, пунктом 1 статьи 144-3 и пунктом 5 статьи 144-4 настоящего Кодекса."
статьи 143,143,z143,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z143"">статьи 143</a>","статьи 143, пунктом 1 статьи 144-3 и пунктом 5 статьи 144-4 настоящего Кодекса."
статьей 144-1,144,z144,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z144"">статьей 144-1</a>",5. Запрещается проведение профилактического контроля с посещением субъектов (объектов) госу
части первой,131_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z648"">части первой</a>","Положение части первой настоящего пункта в части государственного контроля, определенного К"
пункте 2 статьи 132,132,z132,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z132"">пункте 2 статьи 132</a>","4. Внешним контролем является контроль, осуществляемый органом контроля и надзора по провер"
статьи 143,143,z143,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z143"">статьи 143</a>",статьи 143 настоящего Кодекса.
главы 13,ch13,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z1231"">главы 13</a>",Порядок проведения внешнего контроля определяется статьей 137 и параграфом 2 главы 13 насто
статьей 137,137,z137,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z137"">статьей 137</a>",Порядок проведения внешнего контроля определяется статьей 137 и параграфом 2 главы 13 насто
статьей 144–4,144,z144,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z144"">статьей 144–4</a>",4. Расследование как одна из форм контроля представляет собой комплекс действий органов кон
статьи 132,132,z132,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z132"">статьи 132</a>",статьи 132 и
статьи 143,143,z143,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z143"">статьи 143</a>",статьи 143 настоящего Кодекса.
статьи 132,132,z132,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z132"">статьи 132</a>",статьи 132 и
статьи 143,143,z143,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z143"">статьи 143</a>",статьи 143 настоящего Кодекса.
статьи 324,324,z324,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z324"">статьи 324</a>",статьи 324 Кодекса РК от 29.10.2015 № 375-V.
пункта 1 настоящей статьи,141_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z2615"">пункта 1</a> настоящей статьи",2. Под системой оценки и управления рисками для целей контроля и надзора понимается процесс
статьи 132,132,z132,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z132"">статьи 132</a>",статьи 132 и
статьи 143,143,z143,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z143"">статьи 143</a>",статьи 143 настоящего Кодекса и являющихся предметом профилактического контроля с посещением субъек
статьи 132,132,z132,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z132"">статьи 132</a>",статьи 132 и
статьи 143,143,z143,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z143"">статьи 143</a>","статьи 143 настоящего Кодекса, к грубым, значительным или незначительным нарушениям осуществляется"
пункта 9 настоящей статьи,141_p9,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z2637"">пункта 9</a> настоящей статьи","Положения части первой настоящего пункта, а также подпункта 3) пункта 9 настоящей статьи не"
части первой,141_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z2615"">части первой</a>","Положения части первой настоящего пункта, а также подпункта 3) пункта 9 настоящей статьи не"
частью четвертой,144_p4,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z2664"">частью четвертой</a>",При отсутствии автоматизированной информационной системы оценки и управления рисками график
"пунктами 8, 9 и 10 настоящей статьи",144_multi,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z2677"">пунктами 8</a>, <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z2678"">9</a> и <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z2680"">10</a> настоящей статьи","При проведении внеплановой проверки, за исключением случаев, предусмотренных подпунктами 3)"
пункте 5 настоящей статьи,144_p5,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z2666"">пункте 5</a> настоящей статьи",11. Перечисленные в пункте 5 настоящей статьи основания для проведения внеплановой проверки
статьей 144-1,144,z144,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z144"">статьей 144-1</a>",и статьей 144-1 настоящего Кодекса.
пункта 5 настоящей статьи,144-2_p5,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z2707"">пункта 5</a> настоящей статьи",6. Положения настоящей статьи не распространяются при осуществлении профилактического контр
пункте 3 настоящей статьи,144-4_p3,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z2723"">пункте 3</a> настоящей статьи","4. При наличии оснований, указанных в пункте 3 настоящей статьи, органом контроля и надзора"
статьи 129,129,z129,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z129"">статьи 129</a>","статьи 129,"
статьи 144,144,z144,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z144"">статьи 144</a>","статьи 144,"
статьи 146,146,z146,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z146"">статьи 146</a>","статьи 146 настоящего Кодекса регистрируется в государственном органе, осуществляющем в пределах св"
пунктом 1 настоящей статьи,148_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z1613"">пунктом 1</a> настоящей статьи",2. Сроки проведения профилактического контроля с посещением субъекта (объекта) контроля и н
части первой,148_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z1613"">части первой</a>",В случае продления сроков профилактического контроля с посещением субъекта (объекта) контро
статьи 144,144,z144,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z144"">статьи 144</a>",статьи 144 настоящего Кодекса;
частью второй,152_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z2819"">частью второй</a>","10. Изъятие и выемка подлинных бухгалтерских и иных документов запрещаются, если иное не пр"
частью первой,152_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z2816"">частью первой</a>",В случае непредоставления информации об исполнении предписания об устранении выявленных нар
пункта 5 статьи 144,144,z144,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z144"">пункта 5 статьи 144</a>",пункта 5 статьи 144 настоящего Кодекса.
статьи 144,144,z144,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z144"">статьи 144</a>",статьи 144 настоящего Кодекса не требуется.
статьи 132,132,z132,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z132"">статьи 132</a>",статьи 132 и
пунктами 1-1 и 1-2 настоящей статьи,153_multi,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z3231"">пунктами 1-1</a> и <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z3232"">1-2</a> настоящей статьи","статьи 143 настоящего Кодекса, должностное лицо (должностные лица) органа контроля и надзора в пред"
статьи 143,143,z143,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z143"">статьи 143</a>","статьи 143 настоящего Кодекса, должностное лицо (должностные лица) органа контроля и надзора в пред"
части первой,153_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z3157"">части первой</a>",Государственные органы и местные исполнительные органы не вправе принимать меры запретитель
статьи 147,147,z147,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z147"">статьи 147</a>",статьи 147 настоящего Кодекса;
статьи 132,132,z132,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z132"">статьи 132</a>",статьи 132 и
статьи 143,143,z143,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z143"">статьи 143</a>",статьи 143 настоящего Кодекса;
статьи 144,144,z144,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z144"">статьи 144</a>",статьи 144 настоящего Кодекса;
статьи 146,146,z146,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z146"">статьи 146</a>",статьи 146 настоящего Кодекса;
статьи 156,156,z156,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z156"">статьи 156</a>",статьи 156 настоящего Кодекса;
подпунктом 5) настоящего пункта,155_1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z2901"">подпунктом 5)</a> настоящего пункта",6) привлекать третьих лиц к участию в профилактическом контроле с посещением субъекта (объе
статьи 146,146,z146,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z146"">статьи 146</a>",статьи 146 настоящего Кодекса;
статьи 132,132,z132,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z132"">статьи 132</a>",статьи 132 и
статьи 143,143,z143,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z143"">статьи 143</a>",статьи 143 настоящего Кодекса.
"подпунктах 1), 2), 3), 4), 5), 6) и 7) настоящего пункта",165_1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z165_1_1"">подпунктах 1)</a>, <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z165_1_2"">2)</a>, <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z165_1_3"">3)</a>, <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z165_1_4"">4)</a>, <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z165_1_5"">5)</a>, <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z165_1_6"">6)</a> и <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z165_1_7"">7)</a> настоящего пункта","8) лица, каждое из которых по какому-либо из указанных в подпунктах 1), 2), 3), 4), 5), 6)"
"подпунктах 1), 2), 3), 4), 5), 6) и 7) настоящего пункта",165_1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z165_1_1"">подпунктах 1)</a>, <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z165_1_2"">2)</a>, <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z165_1_3"">3)</a>, <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z165_1_4"">4)</a>, <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z165_1_5"">5)</a>, <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z165_1_6"">6)</a> и <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z165_1_7"">7)</a> настоящего пункта","8) лица, каждое из которых по какому-либо из указанных в подпунктах 1), 2), 3), 4), 5), 6)"
"подпунктах 1), 2), 3), 4), 5), 6), 7) и 8) настоящего пункта",165_1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z165_1_1"">подпунктах 1)</a>, <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z165_1_2"">2)</a>, <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z165_1_3"">3)</a>, <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z165_1_4"">4)</a>, <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z165_1_5"">5)</a>, <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z165_1_6"">6)</a>, <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z165_1_7"">7)</a> и <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z165_1_8"">8)</a> настоящего пункта","9) субъект рынка, физические лица и (или) юридические лица, которые по какому-либо из указа"
части первой,169_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z766"">части первой</a>","Положения подпункта 2) части первой настоящего пункта распространяются, в том числе, на сог"
частью первой,169_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z766"">частью первой</a>","Запреты, установленные частью первой настоящего пункта, не распространяются на вертикальные"
пунктах 1–3 настоящей статьи,169_multi,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z766"">пунктах 1</a> и <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z768"">3</a> настоящей статьи","5. Согласование действий субъектов рынка третьим лицом, не входящим в одну группу лиц ни с"
пункте 1 настоящей статьи,169_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z766"">пункте 1</a> настоящей статьи","8. Соглашения, предусмотренные настоящей статьей, за исключением указанных в пункте 1 насто"
части первой,169-1_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z1705"">части первой</a>","К операторам закупок и торгов, указанным в части первой настоящего пункта, относятся:"
пункта 2 настоящей статьи,169-1_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z1706"">пункта 2</a> настоящей статьи","4. Организаторы закупок товаров, за исключением закупок, проводимых в электронной форме, и"
пункта 2 настоящей статьи,169-1_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z1706"">пункта 2</a> настоящей статьи","5. Уполномоченные государственные органы и (или) уполномоченные организации, получающие от"
пункте 1 настоящей статьи,170_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z774"">пункте 1</a> настоящей статьи","2. Действия субъектов рынка, указанные в пункте 1 настоящей статьи, могут быть признаны сог"
пункте 1 настоящей статьи,170_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z774"">пункте 1</a> настоящей статьи","3. Действия субъектов рынка, указанные в пункте 1 настоящей статьи, признаются согласованны"
пункте 1 настоящей статьи,171_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z1723"">пункте 1</a> настоящей статьи","настоящего Кодекса в срок до тридцати календарных дней со дня поступления заявления, указанного в п"
части первой,172_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z780"">части первой</a>","В случае, если субъект рынка занимает долю пятьдесят и более процентов, доминирующим призна"
пунктами 4 и 5 настоящей статьи,172_multi,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z783"">пунктами 4</a> и <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z784"">5</a> настоящей статьи",6. Доминирующим в соответствии с пунктами 4 и 5 настоящей статьи не может быть признано пол
пункте 5 настоящей статьи,175_p5,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z796"">пункте 5</a> настоящей статьи","6. Цена товара не признается монопольно низкой, если она не соответствует хотя бы одному из"
пункте 2 настоящей статьи,176_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z799"">пункте 2</a> настоящей статьи","3. Цена товара не признается монопсонически низкой, если она не соответствует хотя бы одном"
пункте 3 настоящей статьи,176-1_p3,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z2368"">пункте 3</a> настоящей статьи","5. Требования, указанные в пункте 3 настоящей статьи, не распространяются на обладателей кл"
части первой,176-1_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z2361"">части первой</a>",Положение части первой настоящего пункта не распространяется на субъектов квазигосударствен
пункта 1 настоящей статьи,192_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z1950"">пункта 1</a> настоящей статьи","части первой пункта 1 настоящей статьи, осуществляют предпринимательскую деятельность на основании"
пункта 1 настоящей статьи,192_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z1950"">пункта 1</a> настоящей статьи","части первой пункта 1 настоящей статьи, осуществляют предпринимательскую деятельность на основании"
пункта 1 настоящей статьи,192_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z1950"">пункта 1</a> настоящей статьи","3. Юридические лица, более пятидесяти процентов акций (долей участия в уставном капитале) к"
пунктом 4 настоящей статьи,192_p4,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z808"">пунктом 4</a> настоящей статьи","6. В случае, предусмотренном пунктом 4 настоящей статьи, орган, принимающий решение о созда"
частью первой,192_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z1950"">частью первой</a>","В случаях, предусмотренных частью первой настоящего пункта, антимонопольный орган выносит п"
пункта 1 настоящей статьи,192_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z1950"">пункта 1</a> настоящей статьи","9. Требования частей первой и второй пункта 4, пунктов 5, 6, 7 и 8 настоящей статьи распрос"
"пунктов 5, 6, 7 и 8 настоящей статьи",192_multi,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z809"">пунктов 5</a>, <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z810"">6</a>, <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z811"">7</a> и <a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z812"">8</a> настоящей статьи","9. Требования частей первой и второй пункта 4, пунктов 5, 6, 7 и 8 настоящей статьи распрос"
части первой,193_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z814"">части первой</a>","Ограничения, предусмотренные подпунктами 1) и 2) части первой настоящего пункта, не распрос"
