original,article,anchor,link,context
пункте 1 настоящей статьи,14_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z155"">пункте 1</a> настоящей статьи","2. Цены на указанные в пункте 1 настоящей статьи товары (работы, услуги), производимые и (и"
Статья 14-1,14-1,z14-1h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z14-1h"">Статья 14-1</a>",Статья 14-1 предусматривается в редакции Закона РК от 09.01.2026
Статью 15,15,z15h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z15h"">Статью 15</a>",Статью 15 предусматривается исключить Законом РК от 09.01.2026
Статья 16,16,z16h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z16h"">Статья 16</a>",Статья 16 предусматривается в редакции Закона РК от 09.01.2026
Статья 17,17,z17h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z17h"">Статья 17</a>",Статья 17 предусматривается в редакции Закона РК от 09.01.2026
подпунктом 1) настоящего пункта,17_1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z17_1_1"">подпунктом 1)</a> настоящего пункта","2) определять условия доступа и пользования электронными информационными ресурсами, объекта"
Статья 18,18,z18h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z18h"">Статья 18</a>",Статья 18 предусматривается в редакции Закона РК от 09.01.2026
Статью 19,19,z19h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z19h"">Статью 19</a>",Статью 19 предусматривается исключить Законом РК от 09.01.2026
Статья 20,20,z20h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z20h"">Статья 20</a>",Статья 20 предусматривается исключить Законом РК от 09.01.2026
Статью 21,21,z21h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z21h"">Статью 21</a>",Статью 21 предусматривается исключить Законом РК от 09.01.2026
Статью 22,22,z22h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z22h"">Статью 22</a>",Статью 22 предусматривается исключить Законом РК от 09.01.2026
Статью 25,25,z25h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z25h"">Статью 25</a>",Статью 25 предусматривается исключить Законом РК от 09.01.2026
Статью 26,26,z26h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z26h"">Статью 26</a>",Статью 26 предусматривается исключить Законом РК от 09.01.2026
Статью 27,27,z27h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z27h"">Статью 27</a>",Статью 27 предусматривается исключить Законом РК от 09.01.2026
Статью 28,28,z28h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z28h"">Статью 28</a>",Статью 28 предусматривается исключить Законом РК от 09.01.2026
Статья 29,29,z29h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z29h"">Статья 29</a>",Статья 29 предусматривается в редакции Закона РК от 09.01.2026
Статья 30,30,z30h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z30h"">Статья 30</a>",Статья 30 предусматривается в редакции Закона РК от 09.01.2026
Статья 30-1,30-1,z30-1h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z30-1h"">Статья 30-1</a>",Статья 30-1 предусматривается в редакции Закона РК от 09.01.2026
пунктом 1 настоящей статьи,30-1_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z1051"">пунктом 1</a> настоящей статьи","2. Не допускается использование сведений, полученных Национальной системой видеомониторинга"
Статью 31,31,z31h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z31h"">Статью 31</a>",Статью 31 предусматривается исключить Законом РК от 09.01.2026
Статью 32,32,z32h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z32h"">Статью 32</a>",Статью 32 предусматривается исключить Законом РК от 09.01.2026
Статью 33,33,z33h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z33h"">Статью 33</a>",Статью 33 предусматривается исключить Законом РК от 09.01.2026
Статью 34,34,z34h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z34h"">Статью 34</a>",Статью 34 предусматривается исключить Законом РК от 09.01.2026
Статью 35,35,z35h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z35h"">Статью 35</a>",Статью 35 предусматривается исключить Законом РК от 09.01.2026
Статью 36,36,z36h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z36h"">Статью 36</a>",Статью 36 предусматривается исключить Законом РК от 09.01.2026
Статью 37,37,z37h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z37h"">Статью 37</a>",Статью 37 предусматривается исключить Законом РК от 09.01.2026
Статья 38,38,z38h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z38h"">Статья 38</a>",Статья 38 предусматривается в редакции Закона РК от 09.01.2026
Статью 39,39,z39h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z39h"">Статью 39</a>",Статью 39 предусматривается исключить Законом РК от 09.01.2026
Статью 39-1,39-1,z39-1h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z39-1h"">Статью 39-1</a>",Статью 39-1 предусматривается исключить Законом РК от 09.01.2026
Статью 40,40,z40h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z40h"">Статью 40</a>",Статью 40 предусматривается исключить Законом РК от 09.01.2026
Статью 41,41,z41h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z41h"">Статью 41</a>",Статью 41 предусматривается исключить Законом РК от 09.01.2026
Статью 41-1,41-1,z41-1h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z41-1h"">Статью 41-1</a>",Статью 41-1 предусматривается исключить Законом РК от 09.01.2026
Статья 42,42,z42h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z42h"">Статья 42</a>",Статья 42 предусматривается в редакции Закона РК от 09.01.2026
Статью 43,43,z43h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z43h"">Статью 43</a>",Статью 43 предусматривается исключить Законом РК от 09.01.2026
Статью 44,44,z44h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z44h"">Статью 44</a>",Статью 44 предусматривается исключить Законом РК от 09.01.2026
Статью 48,48,z48h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z48h"">Статью 48</a>",Статью 48 предусматривается исключить Законом РК от 09.01.2026
Статья 49,49,z49h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z49h"">Статья 49</a>",Статья 49 предусматривается в редакции Закона РК от 09.01.2026
Статья 50,50,z50h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z50h"">Статья 50</a>",Статья 50 предусматривается в редакции Закона РК от 09.01.2026
статью 52,52,z52h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z52h"">статью 52</a>",В статью 52 предусматривается изменение Законом РК от 09.01.2026
Статья 53,53,z53h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z53h"">Статья 53</a>",Статья 53 предусматривается в редакции Закона РК от 09.01.2026
Статья 54,54,z54h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z54h"">Статья 54</a>",Статья 54 предусматривается в редакции Закона РК от 09.01.2026
Статья 55,55,z55h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z55h"">Статья 55</a>",Статья 55 предусматривается в редакции Закона РК от 09.01.2026
статью 56,56,z56h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z56h"">статью 56</a>",В статью 56 предусматривается изменение Законом РК от 09.01.2026
Статью 57,57,z57h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z57h"">Статью 57</a>",Статью 57 предусматривается исключить Законом РК от 09.01.2026
статьи 59,59,z59h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z59h"">статьи 59</a>",В заголовок статьи 59 предусматривается изменение Законом РК от 09.01.2026
Статью 60,60,z60h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z60h"">Статью 60</a>",Статью 60 предусматривается исключить Законом РК от 09.01.2026
Статья 61,61,z61h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z61h"">Статья 61</a>",Статья 61 предусматривается в редакции Закона РК от 09.01.2026
статью 62,62,z62h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z62h"">статью 62</a>",В статью 62 предусматривается изменение Законом РК от 09.01.2026
статью 63,63,z63h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z63h"">статью 63</a>",В статью 63 предусматривается изменение Законом РК от 09.01.2026
Статью 64,64,z64h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z64h"">Статью 64</a>",Статью 64 предусматривается исключить Законом РК от 09.01.2026
статьей 64-2,64-2,z64-2h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z64-2h"">статьей 64-2</a>",Государственный контроль за соблюдением законодательства Республики Казахстан об информатиз
Статью 64-1,64-1,z64-1h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z64-1h"">Статью 64-1</a>",Статью 64-1 предусматривается исключить Законом РК от 09.01.2026
Статью 64-2,64-2,z64-2h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z64-2h"">Статью 64-2</a>",Статью 64-2 предусматривается исключить Законом РК от 09.01.2026
пункте 8 настоящей статьи,64-2_p8,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z1304"">пункте 8</a> настоящей статьи",1) беспрепятственного доступа на территорию и в помещения проверяемого государственного орг
пунктом 8 настоящей статьи,64-2_p8,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z1304"">пунктом 8</a> настоящей статьи","отсутствия документов, предусмотренных пунктом 8 настоящей статьи;"
пункта 3 настоящей статьи,64-2_p3,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z1265"">пункта 3</a> настоящей статьи",В случае непредоставления информации об устранении выявленных нарушений уполномоченный орга
статью 65,65,z65h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z65h"">статью 65</a>",В статью 65 предусматривается изменение Законом РК от 09.01.2026
Статью 66,66,z66h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z66h"">Статью 66</a>",Статью 66 предусматривается исключить Законом РК от 09.01.2026
подпунктом 2),7-2,z398,"
      2. Отраслевой центр информационной безопасности вправе осуществлять деятельность в соответствии с <a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z398"">подпунктом 2)</a> ",
подпунктом 6),64-2,z1271,"
      В случае непредоставления информации об устранении выявленных нарушений уполномоченный орган в сфере обеспечения информационной безопасности вправе назначить внеплановую проверку в соответствии с <a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z1271"">подпунктом 6)</a> ",
