original,article,anchor,link,context
части восьмой,31_p8,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z933"">части восьмой</a>",В случае отсутствия в многоквартирном жилом доме формы управления объектом кондоминиума или
пунктом 2 настоящей статьи,31_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z913"">пунктом 2</a> настоящей статьи",3. Государственная регистрация объекта кондоминиума принятого в эксплуатацию многоквартирного жилого
пункте 8 настоящей статьи,34-1_p8,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1882"">пункте 8</a> настоящей статьи","9. При несвоевременной оплате собственниками квартир, нежилых помещений текущего и накопите"
частью первой,34-1_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1875"">частью первой</a>","На требование по погашению задолженности по платежам, предусмотренным частью первой настоящ"
"подпунктами 7), 8), 9), 10) и 11) пункта 5 статьи 42",42,z1898,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1912"">подпунктами 7)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1913"">8)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1914"">9)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1915"">10)</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1916"">11)</a> <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1905"">пункта 5</a> <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1898"">статьи 42</a>","10. При непогашении собственником квартиры, нежилого помещения, парковочного места, кладовк"
частью первой,34-2_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1886"">частью первой</a>","В случае, предусмотренном частью первой настоящего пункта, оплата расходов по замене (ремон"
части первой,40_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z989"">части первой</a>","В случае, когда изменения, указанные в части первой настоящего пункта, связаны с обеспечени"
пункта 5 настоящей статьи,42_p5,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1905"">пункта 5</a> настоящей статьи","На собрании собственники квартир, нежилых помещений для принятия решений, предусмотренных п"
пункта 5 настоящей статьи,42_p5,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1905"">пункта 5</a> настоящей статьи","Решение принимается при согласии большинства от общего числа собственников квартир, нежилых"
пункта 6 настоящей статьи,42_p6,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1928"">пункта 6</a> настоящей статьи","9. Собственники парковочных мест, кладовок принимают решение на собрании по вопросам, указа"
пункта 7 статьи 42,42,z1898,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1898"">пункта 7 статьи 42</a>",8. Итоги голосования путем письменного опроса оформляются протоколом собрания и подписывают
подпунктах 1) и 2) пункта 5 статьи 42,42,z1898,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1906"">подпунктах 1)</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1907"">2)</a> <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1905"">пункта 5</a> <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1898"">статьи 42</a>",4. Для проведения голосования посредством объекта информатизации в сфере жилищных отношений
пунктом 1 настоящей статьи,47_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1975"">пунктом 1</a> настоящей статьи","2. Собственники квартир, нежилых помещений свободны в выборе и смене формы управления объек"
"подпунктами 1), 2), 3), 4), 5), 17), 18), 19), 20) и 22) пункта 5 статьи 42",42,z1898,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1906"">подпунктами 1)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1907"">2)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1908"">3)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1909"">4)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1910"">5)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1922"">17)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1923"">18)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1924"">19)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1925"">20)</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1927"">22)</a> <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1905"">пункта 5</a> <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1898"">статьи 42</a>","1) предусмотренные подпунктами 1), 2), 3), 4), 5), 17), 18), 19), 20) и 22) пункта 5 статьи"
части первой,51_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1995"">части первой</a>",В случае передачи советом дома функций по управлению объектом кондоминиума субъекту управле
статьи 31,31,z39,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z39"">статьи 31</a>",статьи 31 настоящего Закона (при ее наличии);
пункте 3 настоящей статьи,51-1_p3,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z2011"">пункте 3</a> настоящей статьи",4. Председатель объединения собственников имущества при прекращении своей деятельности по у
пункта 5 настоящей статьи,51-1_p5,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z2013"">пункта 5</a> настоящей статьи",Временно исполняющий обязанности председателя объединения собственников имущества не вправе
пункта 1 настоящей статьи,51-3_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z2037"">пункта 1</a> настоящей статьи","2. Имущество объединения собственников имущества, оставшееся при его ликвидации в случае, п"
пункта 1 настоящей статьи,51-3_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z2037"">пункта 1</a> настоящей статьи","Имущество объединения собственников имущества, оставшееся при ликвидации в случаях, предусм"
пункте 1 настоящей статьи,51-4_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z2045"">пункте 1</a> настоящей статьи","2. Собственники квартир, нежилых помещений свободны в выборе и смене субъектов управления о"
пункте 2 статьи 31,31,z39,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z39"">пункте 2 статьи 31</a>","документации на многоквартирный жилой дом, указанной в пункте 2 статьи 31 настоящего Закона"
пункте 7 настоящей статьи,51-4_p7,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z2053"">пункте 7</a> настоящей статьи",8. Субъекты управления объектом кондоминиума при прекращении своей деятельности по управлен
пункта 1 настоящей статьи,59_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1268"">пункта 1</a> настоящей статьи","Член жилищно-строительного кооператива, право на пай в жилищно-строительном кооперативе кот"
пункте 3 настоящей статьи,62_p3,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1284"">пункте 3</a> настоящей статьи","4. Сумма, оставшаяся после выплат, указанных в пункте 3 настоящей статьи, распределяется ме"
"пунктами 4, 5, 6 и 7 настоящей статьи",67_multi,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1469"">пунктами 4</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1470"">5</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1471"">6</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1472"">7</a> настоящей статьи",2. Жилища из жилищного фонда государственных учреждений предоставляются в пользование нужда
пунктами 1 и 2 настоящей статьи,71_multi,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1481"">пунктами 1</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1485"">2</a> настоящей статьи","Постановка детей-сирот, детей, оставшихся без попечения родителей (родителя), на учет нужда"
частью первой,73_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1502"">частью первой</a>","Не подлежат снятию с учета нуждающихся в жилище, за исключением случаев, предусмотренных ча"
подпунктами 1) и 3) пункта 1 статьи 10-8,10-8,z1455,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1457"">подпунктами 1)</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1459"">3)</a> <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1456"">пункта 1</a> <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1455"">статьи 10-8</a>","Ветераны Великой Отечественной войны, ветераны, приравненные по льготам к ветеранам Великой"
"подпунктами 1), 2) и 3) пункта 1 статьи 10-8",10-8,z1455,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1457"">подпунктами 1)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1458"">2)</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1459"">3)</a> <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1456"">пункта 1</a> <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1455"">статьи 10-8</a>","4. Решение о предоставлении мер государственной поддержки, направленных на улучшение жилищн"
статьи 67,67,z80,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z80"">статьи 67</a>","статьи 67 настоящего Закона, направляют в государственное учреждение, предоставляющее жилище, утвер"
статьей 86,86,z1807,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1807"">статьей 86</a>","3. Условия и случаи сохранения жилища из государственного жилищного фонда или жилища, аренд"
статьей 90,90,z1428,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1428"">статьей 90</a>",Временное отсутствие нанимателя не освобождает его от выполнения обязанностей по договору н
статьей 86,86,z1807,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1807"">статьей 86</a>","1. Если в жилище из государственного жилищного фонда или жилище, арендованном местным испол"
пунктом 4 настоящей статьи,97_p4,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1301"">пунктом 4</a> настоящей статьи","8. Льготы по оплате расходов, предусмотренных пунктом 4 настоящей статьи, устанавливаются з"
пункте 1 настоящей статьи,98-2_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1320"">пункте 1</a> настоящей статьи","2. Жилище, указанное в пункте 1 настоящей статьи, переданное в коммунальную собственность,"
4-1 настоящей статьи,101_4-1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1571"">4-1</a> настоящей статьи","6. При наличии оснований, установленных пунктами 3, 4 или 4-1 настоящей статьи, жилищная ко"
части первой,101-1_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z2114"">части первой</a>","Жилищное обеспечение сотрудника правоохранительного органа и органа гражданской защиты, ука"
части первой,101-1_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z2114"">части первой</a>","Сотруднику специального государственного органа, военнослужащему Службы государственной охр"
части первой,101-1_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z2114"">части первой</a>","Сотруднику специального государственного органа или военнослужащему, проживавшему до 1 янва"
части первой,101-3_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1602"">части первой</a>","В случаях, предусмотренных подпунктами 3) и 4) части первой настоящего пункта, отчуждение д"
статьи 101-1,101-1,z637,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z637"">статьи 101-1</a>","статьи 101-1 настоящего Закона, право на их получение переходит к членам их семей."
пункта 5 настоящей статьи,106_p5,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z523"">пункта 5</a> настоящей статьи","4. Гражданам, проживающим в сносимом жилище не менее пятнадцати лет, по их желанию другое б"
статьи 101,101,z1818,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1818"">статьи 101</a>","(за исключением случаев, предусмотренных пунктами 3, 4 или 4-1 статьи 101,"
статьи 109,109,z128,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z128"">статьи 109</a>",или 2-2 статьи 109) и
статьями 85 и 86,85,z1806,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1806"">статьями 85</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1807"">86</a>",9) наниматель (поднаниматель) уклоняется в течение трех месяцев со дня получения уведомлени
2-2 настоящей статьи,109_2-2,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1729"">2-2</a> настоящей статьи","4. При наличии оснований, установленных 2, 2-1 или 2-2 настоящей статьи, жилищная комиссия"
статьи 109,109,z128,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z128"">статьи 109</a>","статьи 109 настоящего Закона, подлежат выселению со всеми проживающими с ними лицами без предоставл"
пункте 2 настоящей статьи,116-1_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z2104"">пункте 2</a> настоящей статьи",3. Площадь жилища из жилищного фонда уполномоченной организации по реализации программы рен
"подпунктах 1), 2), 3), 4) и 5) статьи 5",5,z6,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z6"">подпунктах 1), 2), 3), 4) и 5) статьи 5</a>","1) ветеранов Великой Отечественной войны и ветеранов, приравненных по льготам к ветеранам В"
"подпунктах 1), 2), 3), 4) и 5) статьи 5",5,z6,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z6"">подпунктах 1), 2), 3), 4) и 5) статьи 5</a>","2-1) ветераны боевых действий на территории других государств, перечисленные в подпунктах 1"
подпунктами 1) и 4),10-8,z1457,"
      2. Меры государственной поддержки, направленные на улучшение жилищных условий, предусмотренные <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1457"">подпунктами 1)</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1460"">4)</a> ",
"подпунктами 1), 2), 3), 4) и 11)",107,z1538,", <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1538"">подпунктами 1)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1539"">2)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1540"">3)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1541"">4)</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1549"">11)</a> ",
"подпунктами 1), 2), 3), 4) и 11)",107,z1538,"
      3. По истечении срока найма наниматель не приобретает права на возобновление договора и по требованию наймодателя подлежит выселению без предоставления другого жилища. Договор найма может быть расторгнут по требованию наймодателя досрочно при несоблюдении нанимателем условий договора найма, а также при наличии уважительных непредвиденных обстоятельств либо по основаниям, предусмотренным <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1538"">подпунктами 1)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1539"">2)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1540"">3)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1541"">4)</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1549"">11)</a> ",
подпунктами 1) и 2),42,z1906,"
      На собрании собственники квартир, нежилых помещений для принятия решений, предусмотренных <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1906"">подпунктами 1)</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1907"">2)</a> ",
подпунктах 6) –16) и 21),42,z1911,"
      Решение принимается при согласии большинства от общего числа собственников квартир, нежилых помещений, непосредственно принявших участие в голосовании, за исключением вопросов, указанных в <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1911"">подпунктах 6)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1921"">16)</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1926"">21)</a> ",
подпунктах 9) и 11),42,z1931,"
      9. Собственники парковочных мест, кладовок принимают решение на собрании по вопросам, указанным в <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1931"">подпунктах 9)</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1933"">11)</a> ",
"подпунктами 1), 5) и 10)",51-1,z2014,"
      Временно исполняющий обязанности председателя объединения собственников имущества не вправе осуществлять функции, предусмотренные <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z2014"">подпунктами 1)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z2018"">5)</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z2023"">10)</a> ",
подпунктом 1),51-3,z2038,"
      2. Имущество объединения собственников имущества, оставшееся при его ликвидации в случае, предусмотренном <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z2038"">подпунктом 1)</a> ",
подпунктами 2) и 3),51-3,z2039,"
      Имущество объединения собственников имущества, оставшееся при ликвидации в случаях, предусмотренных <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z2039"">подпунктами 2)</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z2040"">3)</a> ",
подпунктом 2),59,z1270,"
      Член жилищно-строительного кооператива, право на пай в жилищно-строительном кооперативе которого отчуждено или утрачено в соответствии с <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1270"">подпунктом 2)</a> ",
подпунктом 10),68,z68_10,"
      3. Граждане Республики Казахстан, состоящие на учете нуждающихся в жилище в единой республиканской электронной базе, электронной базе ""Центр обеспечения жилищем"", относящиеся к категории, определенной <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z68_10"">подпунктом 10)</a> ",
", пунктом 7 ",101,z606,", <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z606"">пунктом 7</a>",
", пунктом 5 ",106,z523,", <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z523"">пунктом 5</a>",
", пунктом 1 ",108,z108_p1,", <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z108_p1"">пунктом 1</a>",
", подпунктами 1), 2), 3) пункта 1 ",105,z105_p1,", <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z515"">подпунктами 1)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z516"">2)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z517"">3)</a> <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z105_p1"">пункта 1</a>",
"
      2) исполнили обязательства по договору на приобретение жилища в собственность, а также использовали право его возникновения путем использования жилищных выплат, в том числе воспользовались по месту прохождения службы правом, предусмотренным подпунктом 3) пункта 1 ",101-6,z1657,"
      2) исполнили обязательства по договору на приобретение жилища в собственность, а также использовали право его возникновения путем использования жилищных выплат, в том числе воспользовались по месту прохождения службы правом, предусмотренным <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1660"">подпунктом 3)</a> <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1657"">пункта 1</a>",
" настоящего Закона нуждающимся в улучшении жилищных условий. Расходы нанимателя (поднанимателя), связанные с переселением в случаях, указанных в подпунктах 1), 2), 3), 4) пункта 1 ",105,z105_p1," настоящего Закона нуждающимся в улучшении жилищных условий. Расходы нанимателя (поднанимателя), связанные с переселением в случаях, указанных в <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z515"">подпунктах 1)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z516"">2)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z517"">3)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z105_1_4"">4)</a> <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z105_p1"">пункта 1</a>",
